[20:40:54.137] [INFO   ] thread bguspl.set.Main.main() starting.
[20:40:54.139] [SEVERE ] cannot read configuration file config.properties trying from resources.
[20:40:54.140] [SEVERE ] configuration file was loaded from resources directory.
[20:40:54.610] [INFO   ] thread dealer starting.
[20:40:54.611] [INFO   ] thread dealer starting.
[20:40:54.611] [INFO   ] thread Player's ID: 0 starting.
[20:40:54.611] [INFO   ] thread Player's ID: 1 starting.
[20:40:54.611] [INFO   ] thread Player's ID: 0 starting.
[20:40:54.612] [INFO   ] thread Player's ID: 1 starting.
[20:40:54.730] [SEVERE ] placing card 32 in slot 1
[20:40:54.839] [SEVERE ] placing card 49 in slot 7
[20:40:54.949] [SEVERE ] placing card 78 in slot 0
[20:40:55.057] [SEVERE ] placing card 51 in slot 2
[20:40:55.165] [SEVERE ] placing card 76 in slot 6
[20:40:55.274] [SEVERE ] placing card 47 in slot 3
[20:40:55.385] [SEVERE ] placing card 24 in slot 2
[20:40:55.493] [SEVERE ] placing card 4 in slot 2
[20:40:55.603] [SEVERE ] placing card 64 in slot 5
[20:40:55.712] [SEVERE ] placing card 10 in slot 4
[20:40:55.823] [SEVERE ] placing card 62 in slot 3
[20:40:55.932] [SEVERE ] placing card 31 in slot 2
[20:40:56.041] [SEVERE ] placing card 80 in slot 3
[20:40:56.149] [SEVERE ] placing card 56 in slot 3
[20:40:56.259] [SEVERE ] placing card 9 in slot 0
[20:40:56.369] [SEVERE ] placing card 66 in slot 2
[20:40:56.478] [SEVERE ] placing card 12 in slot 2
[20:40:56.586] [SEVERE ] placing card 20 in slot 0
[20:40:56.695] [SEVERE ] placing card 29 in slot 1
[20:40:56.804] [SEVERE ] placing card 36 in slot 0
[20:40:56.914] [SEVERE ] placing card 68 in slot 3
[20:40:57.021] [SEVERE ] placing card 45 in slot 2
[20:40:57.130] [SEVERE ] placing card 33 in slot 3
[20:40:57.240] [SEVERE ] placing card 14 in slot 2
[20:40:57.349] [SEVERE ] placing card 69 in slot 1
[20:40:57.457] [SEVERE ] placing card 61 in slot 3
[20:40:57.568] [SEVERE ] placing card 60 in slot 2
[20:40:57.678] [SEVERE ] placing card 26 in slot 0
[20:40:57.787] [SEVERE ] placing card 2 in slot 3
[20:40:57.896] [SEVERE ] placing card 1 in slot 3
[20:40:58.006] [SEVERE ] placing card 52 in slot 2
[20:40:58.114] [SEVERE ] placing card 44 in slot 0
[20:40:58.224] [SEVERE ] placing card 23 in slot 0
[20:40:58.333] [SEVERE ] placing card 42 in slot 3
[20:40:58.443] [SEVERE ] placing card 63 in slot 0
[20:40:58.552] [SEVERE ] placing card 65 in slot 2
[20:40:58.662] [SEVERE ] placing card 34 in slot 1
[20:40:58.770] [SEVERE ] placing card 54 in slot 3
[20:40:58.878] [SEVERE ] placing card 73 in slot 0
[20:40:58.987] [SEVERE ] placing card 67 in slot 0
[20:40:59.096] [SEVERE ] placing card 16 in slot 2
[20:40:59.204] [SEVERE ] placing card 22 in slot 3
[20:40:59.313] [SEVERE ] placing card 38 in slot 1
[20:40:59.422] [SEVERE ] placing card 21 in slot 3
[20:40:59.531] [SEVERE ] placing card 53 in slot 0
[20:40:59.641] [SEVERE ] placing card 50 in slot 2
[20:40:59.749] [SEVERE ] placing card 13 in slot 1
[20:40:59.858] [SEVERE ] placing card 28 in slot 2
[20:40:59.968] [SEVERE ] placing card 75 in slot 1
[20:41:00.077] [SEVERE ] placing card 7 in slot 3
[20:41:00.186] [SEVERE ] placing card 17 in slot 2
[20:41:00.296] [SEVERE ] placing card 30 in slot 0
[20:41:00.405] [SEVERE ] placing card 48 in slot 2
[20:41:00.515] [SEVERE ] placing card 70 in slot 2
[20:41:00.623] [SEVERE ] placing card 0 in slot 1
[20:41:00.734] [SEVERE ] placing card 74 in slot 1
[20:41:00.844] [SEVERE ] placing card 41 in slot 2
[20:41:00.953] [SEVERE ] placing card 57 in slot 0
[20:41:01.062] [SEVERE ] placing card 46 in slot 2
[20:41:01.171] [SEVERE ] placing card 79 in slot 0
[20:41:01.279] [SEVERE ] placing card 11 in slot 0
[20:41:01.388] [SEVERE ] placing card 55 in slot 0
[20:41:01.496] [SEVERE ] placing card 8 in slot 3
[20:41:01.605] [SEVERE ] placing card 25 in slot 1
[20:41:01.715] [SEVERE ] placing card 19 in slot 0
[20:41:01.826] [SEVERE ] placing card 15 in slot 0
[20:41:01.934] [SEVERE ] placing card 39 in slot 1
[20:41:02.043] [SEVERE ] placing card 37 in slot 1
[20:41:02.152] [SEVERE ] placing card 35 in slot 0
[20:41:02.263] [SEVERE ] placing card 6 in slot 3
[20:41:02.372] [SEVERE ] placing card 72 in slot 0
[20:41:02.484] [SEVERE ] placing card 58 in slot 3
[20:41:02.593] [SEVERE ] placing card 43 in slot 2
[20:41:02.703] [SEVERE ] placing card 59 in slot 1
[20:41:02.814] [SEVERE ] placing card 27 in slot 0
[20:41:02.923] [SEVERE ] placing card 18 in slot 2
[20:41:03.031] [SEVERE ] placing card 5 in slot 1
[20:41:03.140] [SEVERE ] placing card 77 in slot 2
[20:41:03.250] [SEVERE ] placing card 3 in slot 1
[20:41:03.359] [SEVERE ] placing card 40 in slot 2
[20:41:03.466] [SEVERE ] placing card 71 in slot 3
[20:44:18.391] [SEVERE ] exit button pressed
